"Name","Team","IP","ERA","TBF","H","R","ER","HR","BB","IBB","HBP","SO","AVG","OBP","SLG","wOBA","WHIP","BABIP","HR/9","H/9","xFIP","K%","playerid"
"Jake Arrieta","Phillies","381.2","2.74","1558","275","131","116","28","157","5","12","407",".198",".286",".325",".272","1.13",".259","0.66","6.48","3.52","26.1 %","4153"
"Hector Neris","Phillies","94.1","2.77","410","89","32","29","9","40","3","0","114",".241",".315",".372",".298","1.37",".324","0.86","8.49","3.80","27.8 %","11804"
"Pat Neshek","Phillies","94.1","3.63","394","88","43","38","13","25","8","1","90",".239",".295",".429",".303","1.20",".283","1.24","8.40","4.25","22.8 %","4682"
"Adam Morgan","Phillies","71.0","3.80","299","62","32","30","8","21","0","3","74",".225",".289",".368",".286","1.17",".280","1.01","7.86","3.71","24.8 %","12580"
"Tommy Hunter","Phillies","135.0","3.93","551","136","62","59","18","25","6","1","101",".259",".295",".422",".307","1.19",".291","1.20","9.07","3.76","18.3 %","1157"
"Aaron Nola","Phillies","158.1","4.04","686","162","75","71","18","60","5","2","141",".260",".328",".418",".321","1.40",".310","1.02","9.21","4.14","20.6 %","16149"
"Vince Velasquez","Phillies","129.2","4.16","557","127","64","60","19","60","2","2","135",".257",".342",".433",".335","1.44",".317","1.32","8.81","4.22","24.2 %","11189"
"Jerad Eickhoff","Phillies","189.0","4.62","837","218","107","97","33","64","4","7","148",".285",".345",".506",".358","1.49",".316","1.57","10.38","4.92","17.7 %","12664"
"Luis Garcia","Phillies","84.1","4.70","392","99","47","44","7","47","13","2","65",".289",".379",".419",".340","1.73",".339","0.75","10.57","4.37","16.6 %","6984"
"Nick Pivetta","Phillies","66.0","4.77","285","63","36","35","5","30","0","0","72",".247",".327",".373",".306","1.41",".326","0.68","8.59","4.01","25.3 %","15454"
"Drew Hutchison","Phillies","190.2","5.62","826","196","124","119","30","71","0","8","166",".262",".334",".458",".344","1.40",".301","1.42","9.25","4.24","20.1 %","10732"
